,fiedler_value,in_degree_centrality_avg,in_degree_centrality_var,out_degree_centrality_var,in_betweenness_centrality_avg,in_betweenness_centrality_var,in_closeness_centrality_avg,in_closeness_centrality_var,out_closeness_centrality_avg,modularity,size_entropy
mean,0.6919329138690681,0.058593212241729385,0.010003256894426542,0.017046398631161638,0.13589109869609717,0.034524889251903286,0.3754379897484334,0.23232500330297595,0.6244797057248176,0.1414693937884742,0.6965854037152972
std,0.03837482461674633,0.036400494165963075,0.01434329449447458,0.01796451598400642,0.04688810098487,0.02029954263889083,0.04541032943928717,0.00931204077394334,0.045253731542041355,0.07231737452933065,0.37256247511466517
min,0.6421542271257694,0.032147173299073496,0.0008523894197524333,0.0036535397120137664,0.08173462168743445,0.015134569908530031,0.28695900084582887,0.20372052128154303,0.37136173929933375,-0.2120119918563057,0.0
max,0.8799035124660588,0.22644323936753444,0.11171943429734633,0.1195517915088371,0.2909634468584257,0.11623659092635744,0.6286382607006663,0.24664629601610474,0.7063743324875045,0.20942236330945976,1.6941875900359797
